站點名稱,站點代碼,緯度,經度
花蓮縣吉安鄉,10015050,23.9424,121.6125
潛點第三核能發電廠出水口,N00900,21.931,120.748
漁港梗枋,I02200,24.903,121.871
潛點船帆石,N01100,21.931,120.823
屏東縣琉球鄉,10013220,22.3533,120.3833
漁港下山,I05100,23.137,120.113
金門縣金寧鄉,09020040,24.4617,118.2975
海水浴場通霄,A00700,24.4928,120.6736
漁港興達,I00600,22.863,120.196
新竹市北區,10018020,24.8486,120.9206
海水浴場翡翠灣,A01500,25.1872,121.6841
漁港小港臨海新村,I05400,22.545,120.344
潛點龜灣海域,N01800,22.625,121.475
漁港紅柴坑,I05700,21.972,120.716
苗栗縣苑裡鎮,10005020,24.456,120.6217
苗栗縣竹南鎮,10005040,24.7117,120.8537
漁港沙港東,I06300,23.604,119.631
衝浪中角沙珠灣,O00100,25.237,121.636
漁港龜吼,I03300,25.196,121.688
衝浪白砂,O00600,21.933,120.719
海水浴場西子灣,A00800,22.625,120.2648
海水浴場福隆,A01700,25.018,121.9433
漁港白沙崙,I05300,22.915,120.181
海水浴場崎頂,A00600,24.7228,120.8656
新北市貢寮區,65000260,25.0217,121.95
漁港外木山,I02600,25.16,121.734
衝浪金樽,O01300,22.956,121.295
澎湖縣西嶼鄉,10016040,23.6041,119.5
漁港淡水第二,I02900,25.183,121.409
漁港馬公,I01800,23.566,119.574
海釣瑞濱隧道與水湳洞之間,B01300,25.1216,121.8226
漁港烏石,I00100,24.868,121.836
海釣高雄港旗后山一港口護岸,B00800,22.616,120.2654
高雄市梓官區,64000290,22.7478,120.2379
漁港福澳,I06800,26.159,119.942
花蓮縣新城鄉,10015040,24.039,121.6343
雲林縣四湖鄉,10009180,23.6186,120.1375
臺南市南區,66000030,22.9482,120.1605
宜蘭縣南澳鄉,10002120,24.4149,121.8068
臺南市七股區,67000150,23.1371,120.0734
海釣鹽埔漁港,B00700,22.4742,120.4381
高雄市前鎮區,64000090,22.5605,120.2999
潛點後壁湖遊艇港東側,N00800,21.946,120.747
衝浪港口,O01000,21.989,120.848
宜蘭縣壯圍鄉,10002060,24.7597,121.8426
彰化縣福興鄉,10007060,24.0457,120.3588
漁港箔子寮,I04700,23.619,120.136
海水浴場吉貝海園,A02000,23.7332,119.6032
臺東縣臺東市,10014010,22.7908,121.1931
彰化縣芳苑鄉,10007230,23.9683,120.3145
海水浴場龍洞南口,A01400,25.102,121.9181
海釣臺中港100號碼頭,B01400,24.2223,120.4843
海釣澎湖港龍門尖山碼頭區,B02700,23.5595,119.672
衝浪大灣,O00800,21.944,120.795
漁港龍鳳,I04200,24.699,120.857
漁港將軍,I00400,23.212,120.086
衝浪港澳水域遊憩活動範圍A、C區,O00400,24.88,121.846
桃園市新屋區,68000110,24.9844,121.0046
海水浴場磯崎,A00200,23.7006,121.5496
漁港外埔,I04100,24.651,120.771
漁港花蓮,I06100,24.0,121.638
高雄市左營區,64000030,22.6958,120.2496
桃園市蘆竹區,68000050,25.1207,121.2801
漁港竹圍,I07000,25.1171,121.24136
臺中市清水區,66000120,24.3331,120.5418
漁港新港,I01000,23.097,121.379
漁港望海巷,I02800,25.138,121.802
衝浪山水,O01100,23.513,119.591
嘉義縣布袋鎮,10010030,23.3889,120.1443
屏東縣滿州鄉,10013240,22.0463,120.8962
海水浴場新金山,A01200,25.2249,121.6433
衝浪蜜月灣,O01200,24.933,121.886
連江縣南竿鄉,09007010,26.1617,119.9428
漁港澳底,I03900,25.058,121.927
新北市淡水區,65000100,25.1915,121.414
漁港南雅,I03600,25.122,121.887
衝浪風吹砂,O00900,21.949,120.842
漁港吉貝,I01200,23.74,119.613
潛點後灣,N01500,22.041,120.694
澎湖縣望安鄉,10016050,23.3612,119.5097
臺中市龍井區,66000250,24.226,120.4642
海水浴場南灣,A00400,21.9604,120.7613
海釣臺中港北防波堤,B02100,24.2964,120.4947
高雄市彌陀區,64000280,22.7761,120.2211
臺中市大甲區,66000110,24.4015,120.5809
漁港金樽,I00900,22.954,121.292
臺東縣東河鄉,10014070,22.945,121.292
海釣東澳烏石鼻,B00300,24.4816,121.8576
花蓮縣豐濱鄉,10015080,23.4947,121.5061
臺東縣長濱鄉,10014080,23.3109,121.4547
海釣石梯港,B00500,23.4924,121.5055
漁港七美,I01100,23.194,119.42
漁港安平,I00500,22.99,120.154
漁港伽藍,I05900,22.791,121.193
宜蘭縣五結鄉,10002090,24.6804,121.842
海釣安平港北防波堤,B02400,22.9699,120.1525
漁港鎮港,I06600,23.642,119.601
海釣外木山,B01000,25.1593,121.7331
漁港八斗子,I00200,25.147,121.79
屏東縣恆春鎮,10013040,21.9458,120.7453
金門縣烈嶼鄉,09020050,24.4266,118.2679
連江縣莒光鄉,09007030,25.9642,119.96
漁港台子村,I04500,23.561,120.139
漁港五條港,I04800,23.722,120.171
漁港枋寮,I05600,22.363,120.593
海釣深澳,B01200,25.1341,121.8212
宜蘭縣蘇澳鎮,10002030,24.5925,121.8669
潛點眺石,N01000,21.957,120.767
衝浪大安海水域場B區,O00500,24.388,120.584
漁港通霄,I07100,24.49694,120.67335
高雄市永安區,64000270,22.8189,120.1975
臺東縣大武鄉,10014100,22.3375,120.8972
海水浴場大安,A02200,24.3839,120.5841
屏東縣佳冬鄉,10013210,22.3645,120.5869
漁港後寮,I01600,23.672,119.569
臺東縣太麻里鄉,10014090,22.5794,121.0045
